run,score
0,8426.375997858177
1,8366.141519981202
2,8681.371837773066
3,8320.923586825429
4,8525.338895073099
5,8468.058681397039
6,8628.995678344081
7,8585.609962470806
8,8395.66290471081
9,8396.142427756808
10,8362.927681139863
11,8548.524281633901
12,8593.466872347257
13,8103.211766262339
14,8289.00122623943
15,8406.806387619625
16,8156.622150536326
17,8166.307644854833
18,8323.47365429262
19,8651.78540366235
20,8329.073549239612
21,8239.524094407638
22,8504.883176532174
23,8464.285875670563
24,8687.898372220017
25,8554.277534814573
26,8077.271967546603
27,8646.366083897656
28,8158.128369475806
29,8491.864612901407
30,8615.584701859087
31,8480.65557537368
32,8328.991080343414
33,8339.373347373998
34,8438.155375350854
35,8426.36513549803
36,8455.77690229726
37,8253.904003251997
38,8547.561350379065
39,8559.74818561066
40,8550.447588537496
41,8236.02570235428
42,8621.395825492771
43,8237.573731754075
44,8262.34653401561
45,8680.022798664657
46,8471.273067847314
47,8446.397375276452
48,8580.559096871306
49,8586.80296391117
50,8795.472156289918
51,8567.19166628912
52,8474.203059381336
53,8590.485430801129
54,8450.132307433114
55,8619.498973844204
56,8576.920618079183
57,8521.75702043684
58,8706.854689627835
59,8425.4706049254
60,8403.157995066895
61,8587.502755840971
62,8708.812798983468
63,8382.129651296507
64,8462.34776322876
65,8268.132162086367
66,8596.557515762339
67,8422.200690218617
68,8158.042061572653
69,8467.555091518383
70,8411.320741830225
71,8231.53576930689
72,8112.276143599316
73,8382.521504208771
74,8606.152263359145
75,8491.027092178592
76,8507.289277293114
77,8452.792324477321
78,8376.350356722387
79,8382.718370652256
80,8517.114789233456
81,8444.270005062537
82,5777.779833933554
83,8419.065050853584
84,8347.3672322887
85,8425.655544538871
86,8530.04480701208
87,8490.94978145033
88,8669.644767155465
89,8562.813556570321
90,8369.206720805014
91,8523.861527127623
92,8251.718252567394
93,8601.295164935487
94,8623.010991231227
95,8536.275651314281
96,8182.717890588733
97,8294.0294926869
98,8567.307284468676
99,7935.508721303651
100,8360.693407708579
101,8521.813792265868
102,8420.809842772662
103,8500.821298566165
104,8597.00890551638
105,8326.528707479674
106,8402.18051649687
107,8274.180547858736
108,8700.161471076883
109,8476.200361807183
110,8331.55850272639
111,8572.04813176917
112,8717.788743975025
113,8544.133893311404
114,8490.812333734153
115,8406.393247020671
116,8402.205438780593
117,8662.49769525117
118,8588.689012638033
119,8560.52642718673
120,8526.210020913117
121,8337.150276225739
122,8134.5665121974835
123,8381.26222240374
124,8518.50853940096
125,8645.4367372153
126,8389.349127241863
127,8288.961505700923
128,8590.959678966135
129,8208.064674198275
130,8709.75851203859
131,8548.482554406151
132,8402.339282036537
133,8470.808454170376
134,8483.629986722795
135,8170.880624310621
136,8426.052408784226
137,8450.483393306724
138,8426.122549783524
139,8246.799323572171
140,8274.738623764184
141,8305.568239617176
142,8249.164448972448
143,8522.164473462924
144,8255.51219211028
145,8624.800926886548
146,8187.943141712993
147,8658.245356683406
148,8566.86429711341
149,8368.283278619847
150,8480.790537549614
151,8516.503324443933
152,8476.437552114226
153,8232.384990622173
154,8482.936392846048
155,8550.131960981531
156,8511.714560183358
157,8344.205612341711
158,8245.173697113116
159,8509.44262139216
160,8413.305883652392
161,8433.271871139761
162,8478.697588078487
163,8382.28447772284
164,8585.563989929467
165,8221.568179414793
166,8484.286720301578
167,8197.274322622294
168,8347.070090426758
169,8306.943311655505
170,8568.215725705184
171,8511.77205004597
172,8521.68223740179
173,6291.897086086426
174,8102.905529805745
175,8268.145868882712
176,8614.787132204336
177,8849.36140581183
178,8541.354728843105
179,8201.424276850947
180,8385.81712892372
181,8580.813715223205
182,8201.273034133363
183,8631.882410977723
184,8767.97171495426
185,8694.588936921355
186,8660.576144610284
187,8205.141262988172
188,8400.940487757043
189,8502.948019587411
190,8129.228332643497
191,8337.11023850322
192,8617.693508770299
193,8606.420727343226
194,8488.015312879445
195,8469.319878511365
196,8385.245784788598
197,8495.595378692478
198,8330.522032774183
199,8520.176451403027
200,8213.512249175601
201,8571.275582927106
202,8583.872633998275
203,8409.218028402849
204,8326.756476412374
205,8445.645799329319
206,8199.782206014981
207,8404.105720709924
208,8514.989292223325
209,8621.001385472824
210,8536.423584031694
211,8683.609266983893
212,8492.240241829591
213,8673.153271166626
214,8149.392269264967
215,8435.956581034148
216,8393.645819041907
217,8384.174419641138
218,8318.523606578081
219,8206.291827194842
220,8305.406363197073
221,8009.877521988447
222,8378.838067454682
223,8370.966483425527
224,8691.138234351938
225,8567.15444442428
226,2882.325783511262
227,8364.683432867678
228,8651.41067543933
229,8375.240585559288
230,8625.476786475918
231,8359.482164986752
232,8347.199977456248
233,8320.986304737708
234,8346.818993607494
235,8374.986268010809
236,8255.453846903176
237,8731.519074911537
238,8285.302490148766
239,8521.322629854101
240,8593.700598825882
241,8550.521147732894
242,8413.47809908407
243,8549.99631350082
244,8413.714990434284
245,8560.999258757205
246,8733.855671529589
247,8354.602649058555
248,8305.940097304087
249,4164.228627362531
250,8486.135053879138
251,8499.367260796955
252,8586.784511906351
253,8517.888915959193
254,8254.534041072477
255,8649.471939521085
256,8505.649470075237
257,8125.958740798128
258,8554.172017066754
259,8174.202103514563
260,8289.325073228254
261,8564.514820319073
262,8459.026426470713
263,8600.900476048892
264,8660.537878065168
265,8385.610373473217
266,8369.149955756206
267,8512.457082867299
268,8174.923471207005
269,8539.138075381346
270,8630.948005620576
271,8447.376965682337
272,8328.839698918222
273,7819.341205503221
274,8603.571895665404
275,8564.306970211588
276,8362.936423204272
277,8603.820463975662
278,8703.448047085727
279,8160.366411315826
280,8433.603085453562
