run,score
0,-301.62224980230803
1,-131.1072853639232
2,-246.3622988492591
3,-124.98666595696093
4,-336.4143097089076
5,-9.462692803277772
6,-129.43938705491857
7,-241.44051983218552
8,-132.887982753349
9,-131.12108866448264
10,-132.34552438124106
11,-8.580704515975054
12,-127.65678432200862
13,-132.39916326356106
14,-122.63709513266342
15,-134.86158834343243
16,-130.14857383568824
17,-128.32531943729316
18,-121.94512497861555
19,-132.61325060278463
20,-136.64977212091915
21,-347.08838335237766
22,-125.87601220447188
23,-128.41487441536245
24,-129.08090081728474
25,-130.62045271451467
26,-230.24511539030613
27,-120.17956806612618
28,-238.97103204232906
29,-9.89060023181124
30,-127.01699261255864
31,-125.08361161932265
32,-231.3623049427822
33,-248.58280139054114
34,-125.11754220177222
35,-256.14859746150273
36,-353.04832222644364
37,-260.561980021169
38,-132.54816439489917
39,-122.04367687166791
40,-8.367140550019606
41,-229.70809525163457
42,-9.009175764705859
43,-254.70036253149226
44,-9.041451913369942
45,-122.99815890432896
46,-128.71498544135386
47,-238.9538645940144
48,-123.15297889225073
49,-125.9272836669236
50,-8.338171814844863
51,-132.3318539593485
52,-133.8130442867531
53,-126.31126713811781
54,-9.246489137982545
55,-9.05330540058997
56,-243.75610758492087
57,-8.318983224788543
58,-129.77291087202013
59,-8.657212262352875
60,-131.059054731781
61,-129.5927468922748
62,-122.6829753912679
63,-129.82468849651028
64,-250.1909494262749
65,-244.37501960767491
66,-237.17032562224082
67,-124.56267873052131
68,-235.21540553285334
69,-242.15816472853996
70,-9.095153894058837
71,-231.8210390299308
72,-125.26299956734185
73,-124.53729307003762
74,-243.71131575596792
75,-126.39891256710024
76,-253.3161808694153
77,-230.8814959292956
78,-303.7186957329005
79,-8.647253823664013
80,-8.63658658402157
81,-121.88741026230888
82,-8.375400918887046
83,-127.5441114830884
84,-126.58267038717017
85,-122.06648358734701
86,-126.22155752302712
87,-124.62959693703155
88,-129.2042719780338
89,-132.31799155365533
90,-239.11156490285316
91,-8.372460329057146
92,-122.20234554098712
93,-265.5099948862963
94,-124.69703622558735
95,-281.62251904300274
96,-128.54782264037075
97,-350.9981592042766
98,-126.94246484712426
99,-232.4638817409283
